userid,age,gender,tenure,friend_count,friendships_initiated,likes,likes_received,engagement_score,user_category,primary_platform
1654565,19,male,394.0,4538,4144,4501,15088,0.49667836234141927,Medium Engagement,Mobile
1205425,60,female,1562.0,4794,3538,586,1318,0.4945200949935729,Medium Engagement,Mobile
2154556,100,male,2473.0,4765,2668,5,1,0.4889560826779822,Medium Engagement,Web
1991657,15,female,594.0,4631,1947,12234,14095,0.46575565003949354,Medium Engagement,Mobile
2010847,18,female,1084.0,4509,3233,2672,2053,0.45966249246984237,Medium Engagement,Mobile
1448930,17,female,1316.0,4357,1810,10433,3066,0.4569415565106525,Medium Engagement,Mobile
1745067,17,female,947.0,4290,3238,3780,8185,0.4557559911936313,Medium Engagement,Both
1559908,20,female,1334.0,4622,1819,4280,45633,0.45528068533715726,Medium Engagement,Web
1052695,22,female,874.0,4297,3654,1968,2006,0.45353709644712287,Medium Engagement,Mobile
1429178,18,female,888.0,4733,519,16583,16743,0.45273135450045554,Medium Engagement,Web
1075221,22,male,907.0,4693,3024,2028,948,0.4444860773039309,Medium Engagement,Mobile
2111567,103,female,3128.0,4658,972,929,2756,0.44243774264019786,Medium Engagement,Mobile
2030365,23,male,1675.0,4705,2291,687,2291,0.43676636416382675,Medium Engagement,Web
1771772,23,female,1179.0,3840,1830,9734,23008,0.4348082394641534,Medium Engagement,Web
1090279,17,female,1110.0,4564,2565,2711,5451,0.43437104491678574,Medium Engagement,Web
1086856,100,male,1189.0,4632,2548,1064,1908,0.42494819613674883,Medium Engagement,Mobile
1089933,108,male,1674.0,4770,2032,4,40,0.42035596073397646,Medium Engagement,Web
1277820,17,female,1005.0,4351,2210,5045,4498,0.41926348888980725,Medium Engagement,Mobile
1192042,20,female,1356.0,4767,2061,791,6077,0.4172980401408213,Medium Engagement,Mobile
1103175,15,female,487.0,3661,3086,6815,6177,0.4171317922661882,Medium Engagement,Web
1007328,23,female,1042.0,4620,1806,4756,9787,0.4169419047996354,Medium Engagement,Both
1949247,19,female,434.0,4189,3594,927,2859,0.4164930381897228,Medium Engagement,Both
1131001,17,female,1153.0,4630,1797,4590,3295,0.41602650895825477,Medium Engagement,Both
1934087,19,male,575.0,4516,3078,954,3075,0.41531354369566664,Medium Engagement,Mobile
2031535,19,female,1353.0,4598,2396,37,1486,0.4152197800872821,Medium Engagement,Mobile
2185422,20,female,1486.0,4132,1780,3781,22633,0.41419312218001325,Medium Engagement,Both
1078916,20,male,959.0,4499,2501,1720,5895,0.4132127532193233,Medium Engagement,Web
1114537,17,male,1088.0,4524,2610,505,1111,0.41256713617136986,Medium Engagement,Both
1280332,24,male,1594.0,4306,2323,561,1353,0.412456294822095,Medium Engagement,Web
1235124,97,male,1355.0,4112,2868,16,63,0.4121583451637084,Medium Engagement,Mobile
1441066,18,male,969.0,3494,2309,8210,13971,0.41126258191504395,Medium Engagement,Web
1715925,23,female,705.0,4077,793,1877,152014,0.4103472564385229,Medium Engagement,Web
1259648,103,male,2287.0,4196,1734,43,1,0.4063983551237553,Medium Engagement,Web
1685573,38,male,1930.0,4845,942,1768,4886,0.40155186059535575,Medium Engagement,Both
1836366,26,female,1669.0,4240,857,4794,28778,0.39664951209347693,Medium Engagement,Web
1807563,22,male,1547.0,3746,2373,1280,9503,0.3961526141720202,Medium Engagement,Web
1640206,105,male,1376.0,4548,2043,22,62,0.3955332402170019,Medium Engagement,Web
1926313,22,female,1505.0,4336,1221,4539,9920,0.3947846068663442,Medium Engagement,Both
1640179,21,female,1529.0,4589,1822,14,56,0.3941922151232848,Medium Engagement,Mobile
2113188,89,male,1494.0,4583,1788,157,112,0.39175591165872103,Medium Engagement,Mobile
1269167,31,male,513.0,3696,2579,6448,3687,0.3908528570407853,Medium Engagement,Both
1182272,17,female,1082.0,4464,1716,2049,17159,0.39067222257254586,Medium Engagement,Both
1417328,19,female,836.0,4568,1738,3946,3794,0.39013525641468577,Medium Engagement,Web
1457494,113,male,1284.0,4703,1851,24,17,0.3897232156557521,Medium Engagement,Web
1129526,92,female,1235.0,4153,2271,1048,1986,0.3893853145669026,Medium Engagement,Both
2082096,33,female,2373.0,2870,2265,2097,4442,0.3885582305480998,Medium Engagement,Mobile
1029702,108,male,1900.0,3889,1977,356,835,0.38717444615866997,Medium Engagement,Web
1781243,17,female,976.0,3683,755,10478,42449,0.3860644497726984,Medium Engagement,Web
1344342,20,female,476.0,3599,2198,7594,15413,0.383877026559593,Medium Engagement,Mobile
1849808,108,male,1525.0,4061,2147,1,17,0.3827400778817094,Medium Engagement,Mobile
1207426,89,male,1944.0,4581,1090,334,2185,0.3824678008870485,Medium Engagement,Both
2118039,20,female,788.0,4540,2145,1169,482,0.38140867836688463,Medium Engagement,Mobile
1403953,19,male,519.0,3693,3415,170,20,0.37852488325657324,Medium Engagement,Mobile
1248163,15,female,484.0,4530,2097,2394,6536,0.3784495981263285,Medium Engagement,Mobile
1053087,23,male,596.0,4320,836,2996,82623,0.375333270411923,Medium Engagement,Web
1902079,68,female,1285.0,4358,1809,131,1024,0.3718474512287012,Medium Engagement,Mobile
1029773,103,male,1498.0,4717,1219,6,249,0.37019270067406423,Medium Engagement,Mobile
1405803,25,male,667.0,3820,2836,835,377,0.3696723438616881,Medium Engagement,Web
1298331,19,female,1059.0,3776,1068,6912,27029,0.36965051310056196,Medium Engagement,Web
2087369,18,female,1071.0,4544,1721,421,1158,0.36923196966416305,Medium Engagement,Both
1320525,85,female,863.0,3932,2499,721,2326,0.3690458856592173,Medium Engagement,Mobile
1667033,21,male,1127.0,3450,2837,327,243,0.3687641329547634,Medium Engagement,Web
1078313,17,female,577.0,4584,2196,108,682,0.36772431056084964,Medium Engagement,Web
1771131,103,female,2029.0,3931,1302,794,2298,0.36750319374133666,Medium Engagement,Web
1674381,18,female,853.0,4417,1062,5765,6533,0.36723898815359024,Medium Engagement,Mobile
1676607,52,female,1957.0,3970,1245,1201,2696,0.36683850009574964,Medium Engagement,Both
1480994,68,male,811.0,4250,2293,6,113,0.3653784008394508,Medium Engagement,Mobile
1078844,20,male,1190.0,4638,1480,80,179,0.3645951650074567,Medium Engagement,Web
1695259,14,female,566.0,4615,1848,1257,4680,0.36419020083256953,Medium Engagement,Mobile
1256914,15,female,1189.0,3438,2559,951,1543,0.3636658377466511,Medium Engagement,Both
1239973,17,female,936.0,4417,1781,910,1851,0.3636526454277993,Medium Engagement,Both
1390362,17,female,716.0,3738,2060,4790,2475,0.3635045785654426,Medium Engagement,Mobile
2039360,16,female,623.0,4524,1999,370,2459,0.36081521193289445,Medium Engagement,Both
1166881,18,female,695.0,4535,1916,492,983,0.36065011336069414,Medium Engagement,Both
1208130,103,male,2094.0,4501,583,365,743,0.36024676960585467,Medium Engagement,Mobile
1401489,18,female,404.0,3769,2550,3162,1258,0.3599199710638116,Medium Engagement,Mobile
1719894,17,female,1104.0,4662,1391,108,2477,0.3593915794700905,Medium Engagement,Both
1949519,20,female,596.0,4585,1744,1350,1963,0.35774130126682735,Medium Engagement,Mobile
1751766,16,female,649.0,4759,1750,16,158,0.3573926814886117,Medium Engagement,Mobile
2115451,108,female,954.0,3982,1190,6016,4012,0.35622156337573774,Medium Engagement,Web
2177920,21,female,968.0,3279,2693,1402,2226,0.3556130143873695,Medium Engagement,Mobile
1914977,20,female,712.0,3131,935,11142,37450,0.35556529461563646,Medium Engagement,Web
1519813,21,female,2314.0,3135,1441,1725,2441,0.35493274124227636,Medium Engagement,Mobile
1216554,17,male,540.0,4135,2450,14,62,0.35419036795791403,Medium Engagement,Web
1750236,108,male,1539.0,4632,931,1,428,0.35403307387543403,Medium Engagement,Mobile
1100364,102,male,754.0,4420,1284,3244,6855,0.3535425212989927,Medium Engagement,Both
1015907,74,male,832.0,4630,831,966,39536,0.35295169865302134,Medium Engagement,Mobile
1141988,18,female,700.0,4420,1890,417,601,0.35290443439541574,Medium Engagement,Both
1794098,94,female,813.0,3929,2195,795,2409,0.3524853656047522,Medium Engagement,Mobile
1594534,22,female,565.0,4622,1846,33,1849,0.35248493592609675,Medium Engagement,Mobile
1515748,95,female,1975.0,4354,748,53,135,0.35210808956895284,Medium Engagement,Both
1746334,22,female,1344.0,4306,983,1970,7907,0.35207860829089865,Medium Engagement,Both
1324261,19,female,1554.0,3874,1618,243,1046,0.3518140925725812,Medium Engagement,Mobile
1350506,19,female,397.0,3055,2199,8305,6801,0.3515933703258092,Medium Engagement,Web
1484176,17,female,756.0,4458,1492,1485,6365,0.35122142859059297,Medium Engagement,Both
1292089,20,female,1067.0,4607,1336,128,467,0.3507962724461309,Medium Engagement,Web
2126936,24,female,1329.0,4390,1214,526,978,0.3499696500061335,Medium Engagement,Web
1531202,23,male,917.0,3328,2817,2,18,0.3488076388949499,Medium Engagement,Mobile
1073794,19,female,373.0,4589,1720,841,10253,0.3484235673342282,Medium Engagement,Mobile
1010176,101,female,2061.0,4529,400,35,56,0.34810531521491683,Medium Engagement,Mobile
1207962,17,female,606.0,4759,1507,420,1190,0.3476180092500402,Medium Engagement,Web
1006228,18,female,1029.0,4589,1330,48,173,0.346914467047944,Medium Engagement,Mobile
1228091,23,male,798.0,4217,1952,3,35,0.3465402285531968,Medium Engagement,Web
1898274,91,female,1340.0,4560,1040,67,206,0.346483666013166,Medium Engagement,Mobile
2125985,16,female,1464.0,4604,730,793,1370,0.34635574769456323,Medium Engagement,Mobile
2085281,96,male,999.0,3738,1705,2952,3857,0.34631399131469565,Medium Engagement,Mobile
2009328,108,female,1613.0,4138,1212,14,60,0.3458664391036639,Medium Engagement,Mobile
1127838,21,female,881.0,4767,1240,151,599,0.345684273606325,Medium Engagement,Mobile
1364616,18,female,508.0,3917,1872,3664,3058,0.3450599591811047,Medium Engagement,Mobile
1526069,16,female,938.0,4697,924,1823,2791,0.3445976624118895,Medium Engagement,Mobile
1144745,46,male,1423.0,4615,702,840,1896,0.3443808752128574,Medium Engagement,Both
1925562,16,female,1177.0,3995,1367,1409,9705,0.343746540084629,Medium Engagement,Both
2154380,19,female,1409.0,3441,2075,128,389,0.34353349221789126,Medium Engagement,Web
1759734,103,male,1879.0,2871,2229,11,124,0.34334476733284813,Medium Engagement,Mobile
2176872,18,female,604.0,4655,1597,52,247,0.34293168745381936,Medium Engagement,Mobile
1112584,27,male,1349.0,2936,2637,222,43,0.34262869899335013,Medium Engagement,Both
1139873,14,female,1061.0,4418,1128,1338,2758,0.34226458294187606,Medium Engagement,Web
1137301,19,female,1767.0,4302,754,203,1006,0.34167915253962156,Medium Engagement,Web
1799059,15,female,1095.0,4233,1329,1042,1491,0.340867716826135,Medium Engagement,Mobile
1619348,21,female,1311.0,4211,1212,569,1277,0.3404944179445832,Medium Engagement,Mobile
1221402,19,female,482.0,4043,2248,292,1489,0.3403046328527384,Medium Engagement,Web
1677625,78,female,1691.0,4735,268,475,2677,0.34002632434494284,Medium Engagement,Mobile
1656079,66,female,2012.0,1567,1237,12566,4846,0.3392157414336382,Medium Engagement,Web
1961641,14,female,516.0,3966,2308,86,721,0.338686112541422,Medium Engagement,Web
1500480,16,female,665.0,4755,1326,79,652,0.33837083824427194,Medium Engagement,Both
1219473,18,female,1103.0,4021,1325,2067,1028,0.3381003920243183,Medium Engagement,Both
1686646,43,male,793.0,3797,1034,5926,12642,0.33749561664447125,Medium Engagement,Both
1921091,99,female,1421.0,4731,591,19,154,0.3369460514555932,Medium Engagement,Mobile
1981043,54,male,801.0,3469,1557,5744,1978,0.3368476582547116,Medium Engagement,Both
1981996,16,female,682.0,3358,2239,2665,5721,0.3367823035954225,Medium Engagement,Mobile
1362239,68,female,743.0,4724,1149,496,1630,0.33605153923237,Medium Engagement,Mobile
